City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
39,Khambhat,IN,22.3,72.62,81.36,82,100,10.89,overcast clouds
40,Fortuna,US,40.6,-124.16,61.86,74,26,4.14,scattered clouds
41,Bonavista,CA,48.65,-53.11,59.94,98,100,25.95,moderate rain
42,Anadyr,RU,64.75,177.48,45.1,93,75,17.9,light intensity shower rain
43,Puerto Ayora,EC,-0.74,-90.35,67.55,98,50,1.99,scattered clouds
44,Ponta Delgada,PT,37.73,-25.67,74.5,94,75,5.75,broken clouds
45,Cape Town,ZA,-33.93,18.42,56.37,80,20,5.99,few clouds
46,Airai,TL,-8.93,125.41,71.58,44,90,3.15,overcast clouds
47,Acapulco,MX,16.86,-99.89,81.23,86,39,5.84,scattered clouds
48,Marsh Harbour,BS,26.54,-77.06,81.54,80,5,9.62,clear sky
49,Makakilo City,US,21.35,-158.09,82.56,60,40,13.8,scattered clouds
50,New Philadelphia,US,40.49,-81.45,75.79,81,11,4.43,few clouds
51,Mahebourg,MU,-20.41,57.7,70.09,60,40,20.71,scattered clouds
52,Ranong,TH,9.97,98.63,82.33,79,99,8.41,overcast clouds
53,Port Alfred,ZA,-33.59,26.89,56.17,96,100,5.01,moderate rain
54,Eugene,US,44.05,-123.09,91.15,44,0,5.75,clear sky
55,Castro,BR,-24.79,-50.01,57.22,96,2,3.74,clear sky
56,Sijunjung,ID,-0.69,100.95,84.31,64,100,1.21,overcast clouds
57,Lorengau,PG,-2.02,147.27,84.18,68,100,7.05,overcast clouds
58,Busselton,AU,-33.65,115.33,62.31,70,93,15.1,overcast clouds
59,Tuktoyaktuk,CA,69.45,-133.04,50.0,100,100,3.44,overcast clouds
60,Tecoanapa,MX,16.52,-98.75,81.09,88,60,6.87,broken clouds
61,Kapaa,US,22.08,-159.32,85.98,73,20,18.41,few clouds
62,Fairbanks,US,64.84,-147.72,55.36,88,75,5.75,light rain
63,Kaitangata,NZ,-46.28,169.85,44.74,77,100,5.64,overcast clouds
64,Avarua,CK,-21.21,-159.78,78.85,61,40,8.05,scattered clouds
65,Sampit,ID,-2.53,112.95,87.17,61,14,4.09,few clouds
66,Sistranda,NO,63.73,8.83,57.16,89,100,19.26,overcast clouds
67,Coihaique,CL,-45.58,-72.07,42.75,81,100,6.91,light rain
68,Port Hardy,CA,50.7,-127.42,57.9,80,1,13.98,clear sky
69,Puerto Narino,CO,-3.77,-70.38,73.15,95,98,1.97,overcast clouds
70,Kavieng,PG,-2.57,150.8,84.2,68,100,8.9,overcast clouds
71,Atuona,PF,-9.8,-139.03,77.86,72,58,12.28,broken clouds
72,Charcas,MX,23.13,-101.12,68.92,58,37,11.03,scattered clouds
73,Ancud,CL,-41.87,-73.82,51.22,95,100,20.02,light rain
74,Thompson,CA,55.74,-97.86,75.36,53,75,5.75,broken clouds
75,San Cristobal,VE,7.77,-72.22,69.98,96,100,3.02,overcast clouds
76,Kayerkan,RU,69.35,87.76,57.52,62,100,7.99,overcast clouds
77,Hilo,US,19.73,-155.09,83.28,73,40,11.5,scattered clouds
78,Arraial Do Cabo,BR,-22.97,-42.03,69.21,91,0,10.92,clear sky
79,Saint George,US,37.1,-113.58,102.79,17,0,13.8,clear sky
80,Sitka,US,57.05,-135.33,55.29,88,100,10.36,overcast clouds
81,Iwaki,JP,37.05,140.88,86.61,56,100,12.41,overcast clouds
82,East London,ZA,-33.02,27.91,63.1,83,96,15.43,light rain
83,Chokurdakh,RU,70.63,147.92,50.79,56,98,7.58,overcast clouds
84,Eureka,US,40.8,-124.16,58.12,85,59,1.01,broken clouds
85,Bambous Virieux,MU,-20.34,57.76,70.05,60,40,20.71,scattered clouds
86,Verkhnevilyuysk,RU,63.45,120.32,62.37,61,100,8.68,overcast clouds
87,Saint-Philippe,RE,-21.36,55.77,71.22,76,50,18.79,light rain
88,Lebu,CL,-37.62,-73.65,48.16,90,6,4.14,clear sky
89,Gushikawa,JP,26.35,127.87,90.99,70,40,10.36,scattered clouds
90,Barrow,US,71.29,-156.79,44.62,70,0,16.11,clear sky
91,Lethem,GY,3.38,-59.8,74.8,90,77,4.74,broken clouds
92,Lata,PT,40.16,-8.33,55.4,97,5,2.86,clear sky
93,Tabuk,PH,17.42,121.44,87.67,65,42,5.61,scattered clouds
94,Saint Anthony,US,45.02,-93.22,78.93,46,0,3.0,clear sky
95,Codrington,AU,-38.27,141.97,52.97,53,0,1.97,clear sky
96,Kyra,RU,49.58,111.98,79.63,38,98,5.28,overcast clouds
97,Menongue,AO,-14.66,17.69,45.16,56,2,3.89,clear sky
98,Chuy,UY,-33.7,-53.46,44.78,90,0,5.7,clear sky
99,Salinopolis,BR,-0.61,-47.36,78.31,83,93,8.21,overcast clouds
100,Jamestown,US,42.1,-79.24,74.52,89,22,4.03,few clouds
101,Touros,BR,-5.2,-35.46,72.55,87,4,14.29,clear sky
102,Yar-Sale,RU,66.83,70.83,61.72,60,100,8.43,overcast clouds
103,Oksovskiy,RU,62.61,39.9,58.6,99,100,6.17,light rain
104,Eyl,SO,7.98,49.82,76.26,56,96,23.76,overcast clouds
105,Manacapuru,BR,-3.3,-60.62,78.67,73,97,4.25,overcast clouds
106,Jaque,PA,7.52,-78.17,78.15,92,100,3.91,moderate rain
107,Hella,NO,67.2,14.43,51.94,90,0,18.41,clear sky
108,Taywarah,AF,33.35,64.42,67.03,17,0,6.49,clear sky
109,Opuwo,NA,-18.06,13.84,54.19,46,0,4.29,clear sky
110,Hualmay,PE,-11.1,-77.61,61.83,83,55,9.42,broken clouds
111,Southbridge,US,42.08,-72.03,78.08,86,97,3.76,overcast clouds
112,Sola,VU,-13.88,167.55,80.53,79,19,17.11,few clouds
113,Grootfontein,NA,-19.57,18.12,38.77,70,0,3.44,clear sky
114,Tricase,IT,39.93,18.36,72.52,67,0,9.04,clear sky
115,Tigre,AR,-34.43,-58.58,54.21,90,0,5.75,clear sky
116,Santa Cruz,BO,-17.8,-63.17,65.66,82,62,4.61,broken clouds
117,Egvekinot,RU,66.32,-179.17,45.03,68,96,4.81,overcast clouds
118,Tiksi,RU,71.69,128.87,34.79,97,100,14.83,overcast clouds
119,Yarada,IN,17.65,83.27,86.32,79,40,6.91,mist
120,Povenets,RU,62.85,34.83,55.47,94,100,15.7,moderate rain
121,Coronado,US,32.69,-117.18,84.78,76,32,7.0,scattered clouds
122,Coquimbo,CL,-29.95,-71.34,53.33,100,100,2.3,overcast clouds
123,Hofn,IS,64.25,-15.21,50.81,79,100,8.08,light rain
124,Ahipara,NZ,-35.17,173.17,58.03,82,53,9.75,broken clouds
125,Hithadhoo,MV,-0.6,73.08,81.66,72,97,5.61,heavy intensity rain
126,Upernavik,GL,72.79,-56.15,44.71,78,86,3.87,overcast clouds
127,Faanui,PF,-16.48,-151.75,77.77,67,20,6.71,few clouds
